,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC171215C00013000,1.5741999999999998,27.75,CALL,-14.64,26.999999999999957,-48.999999999999844,14.75,-10.999999999999943,13.0,1
BAC171215C00014000,1.4413999999999998,27.15,CALL,-13.64,86.99999999999991,11.00000000000012,13.15,49.00000000000002,14.0,30
BAC171215C00015000,1.3174000000000001,27.3,CALL,-12.64,71.99999999999989,-3.9999999999999147,12.3,33.999999999999986,15.0,1
BAC171215C00016000,1.2012,27.71,CALL,-11.64,30.999999999999872,-44.99999999999993,11.71,-7.000000000000028,16.0,3
BAC171215C00017000,0.9063,27.6,CALL,-10.64,42.00000000000017,-33.99999999999963,10.6,3.9999999999999147,17.0,110
BAC171215C00018000,0.9883,27.75,CALL,-9.64,26.999999999999957,-48.999999999999844,9.75,-10.999999999999943,18.0,2
BAC171215C00019000,0.8887,27.65,CALL,-8.64,36.999999999999744,-39.00000000000006,8.65,-0.999999999999801,19.0,25
BAC171215C00020000,0.6465000000000001,27.55,CALL,-7.640000000000001,46.999999999999886,-28.999999999999915,7.55,8.999999999999986,20.0,1
BAC171215C00021000,0.7012,27.91,CALL,-6.640000000000001,10.999999999999943,-64.99999999999986,6.91,-26.999999999999957,21.0,14
BAC171215C00022000,0.5195000000000001,27.55,CALL,-5.640000000000001,46.999999999999886,-28.999999999999915,5.55,8.999999999999986,22.0,34
BAC171215C00023000,0.4658,27.6,CALL,-4.640000000000001,42.00000000000017,-33.99999999999963,4.6,3.9999999999999147,23.0,20
BAC171215C00024000,0.3848,27.65,CALL,-3.6400000000000006,37.0000000000001,-38.9999999999997,3.65,-0.999999999999801,24.0,146
BAC171215C00025000,0.33299999999999996,27.72,CALL,-2.6400000000000006,30.00000000000007,-45.99999999999973,2.72,-7.9999999999998295,25.0,277
BAC171215C00026000,0.2876,27.88,CALL,-1.6400000000000006,14.000000000000057,-61.999999999999744,1.88,-23.999999999999844,26.0,429
BAC171215C00027000,0.2554,28.18,CALL,-0.6400000000000006,-16.000000000000014,-91.99999999999982,1.18,-53.999999999999915,27.0,"1,365"
BAC171215C00028000,0.23829999999999998,28.66,CALL,0.35999999999999943,-64.00000000000006,-139.99999999999986,0.66,-101.99999999999996,28.0,"6,164"
BAC171215C00029000,0.2305,29.32,CALL,1.3599999999999994,-130.00000000000006,-205.9999999999999,0.32,-167.99999999999997,29.0,728
BAC171215C00030000,0.2275,30.14,CALL,2.3599999999999994,-212.0000000000001,-287.9999999999999,0.14,-250.0,30.0,"1,108"
BAC171215C00031000,0.22460000000000002,31.06,CALL,3.3599999999999994,-303.9999999999999,-379.9999999999997,0.06,-341.99999999999983,31.0,100
BAC171215C00032000,0.23440000000000003,32.02,CALL,4.359999999999999,-400.0,-475.9999999999998,0.02,-437.9999999999999,32.0,200
BAC171215C00033000,0.2539,33.01,CALL,5.359999999999999,-499.0000000000002,-575.0,0.01,-537.0000000000001,33.0,58
BAC171215C00034000,0.2656,34.01,CALL,6.359999999999999,-599.0000000000002,-675.0,0.01,-637.0000000000001,34.0,10
BAC171215C00035000,0.293,35.01,CALL,7.359999999999999,-699.0000000000002,-775.0,0.01,-737.0000000000001,35.0,30
BAC171215C00036000,0.35159999999999997,36.01,CALL,8.36,-799.0000000000002,-875.0,0.01,-837.0000000000001,36.0,20
BAC171215C00037000,0.38280000000000003,37.02,CALL,9.36,-900.0,-975.9999999999998,0.02,-937.9999999999999,37.0,5
BAC171215P00013000,0.8281000000000001,12.99,PUT,-14.64,-1427.0000000000002,-1503.0,0.01,-1465.0,13.0,6
BAC171215P00014000,0.8438,13.99,PUT,-13.64,-1327.0000000000002,-1403.0,0.01,-1365.0,14.0,20
BAC171215P00015000,0.625,14.99,PUT,-12.64,-1227.0000000000002,-1303.0,0.01,-1265.0,15.0,45
BAC171215P00016000,0.6093999999999999,15.99,PUT,-11.64,-1127.0000000000002,-1203.0,0.01,-1165.0,16.0,4
BAC171215P00017000,0.5468999999999999,16.99,PUT,-10.64,-1027.0000000000002,-1103.0,0.01,-1065.0000000000002,17.0,30
BAC171215P00018000,0.5352,17.98,PUT,-9.64,-928.0000000000001,-1003.9999999999999,0.02,-966.0,18.0,"1,358"
BAC171215P00019000,0.47659999999999997,18.99,PUT,-8.64,-827.0000000000003,-903.0000000000001,0.01,-865.0000000000002,19.0,22
BAC171215P00020000,0.41409999999999997,19.98,PUT,-7.640000000000001,-728.0000000000001,-803.9999999999999,0.02,-766.0,20.0,200
BAC171215P00021000,0.3594,20.99,PUT,-6.640000000000001,-627.0000000000003,-703.0000000000001,0.01,-665.0000000000002,21.0,4
BAC171215P00022000,0.32420000000000004,21.97,PUT,-5.640000000000001,-529.0000000000002,-605.0000000000001,0.03,-567.0000000000002,22.0,14
BAC171215P00023000,0.2813,22.97,PUT,-4.640000000000001,-429.0000000000003,-505.00000000000006,0.03,-467.00000000000017,23.0,240
BAC171215P00024000,0.2666,23.92,PUT,-3.6400000000000006,-334.0,-409.9999999999998,0.08,-371.9999999999999,24.0,"2,965"
BAC171215P00025000,0.2441,24.83,PUT,-2.6400000000000006,-243.00000000000034,-319.0000000000001,0.17,-281.0000000000002,25.0,"1,073"
BAC171215P00026000,0.2285,25.66,PUT,-1.6400000000000006,-160.00000000000014,-235.99999999999994,0.34,-198.00000000000006,26.0,136
BAC171215P00027000,0.21289999999999998,26.37,PUT,-0.6400000000000006,-89.00000000000006,-164.99999999999986,0.63,-126.99999999999996,27.0,"4,817"
BAC171215P00028000,0.19829999999999998,26.88,PUT,0.35999999999999943,-38.000000000000256,-114.00000000000006,1.12,-76.00000000000016,28.0,"4,520"
BAC171215P00029000,0.1826,27.19,PUT,1.3599999999999994,-7.000000000000028,-82.99999999999983,1.81,-44.99999999999993,29.0,24
BAC171215P00030000,0.125,27.33,PUT,2.3599999999999994,6.999999999999673,-69.00000000000013,2.67,-31.000000000000227,30.0,52
BAC171215P00031000,0.0,27.15,PUT,3.3599999999999994,-11.000000000000298,-87.0000000000001,3.85,-49.0000000000002,31.0,1
BAC171215P00032000,0.42090000000000005,25.7,PUT,4.359999999999999,-156.00000000000023,-232.00000000000003,6.3,-194.0000000000001,32.0,10
BAC171215P00033000,0.0,27.75,PUT,5.359999999999999,48.999999999999844,-26.999999999999957,5.25,10.999999999999943,33.0,1
BAC171215P00034000,0.0,27.45,PUT,6.359999999999999,18.999999999999773,-57.00000000000003,6.55,-19.000000000000128,34.0,40
BAC171215P00035000,0.5449,24.9,PUT,7.359999999999999,-236.00000000000028,-312.0000000000001,10.1,-274.0000000000002,35.0,40
BAC171215P00036000,0.5879,23.95,PUT,8.36,-331.0000000000002,-407.0,12.05,-369.0000000000001,36.0,1
BAC171215P00037000,0.6289,27.11,PUT,9.36,-15.000000000000213,-91.00000000000001,9.89,-53.000000000000114,37.0,10
