,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC180119C00002000,4.5586,27.59,CALL,-25.64,42.99999999999997,-32.99999999999983,25.59,5.000000000000071,2.0,1
BAC180119C00003000,0.0,23.51,CALL,-24.64,450.9999999999998,375.0,20.51,412.9999999999999,3.0,4
BAC180119C00004000,0.0,23.51,CALL,-23.64,450.9999999999998,375.0,19.51,412.9999999999999,4.0,16
BAC180119C00005000,2.582,27.42,CALL,-22.64,59.99999999999979,-16.000000000000014,22.42,21.999999999999886,5.0,2
BAC180119C00008000,1.8555000000000001,27.65,CALL,-19.64,37.0000000000001,-38.9999999999997,19.65,-0.999999999999801,8.0,10
BAC180119C00010000,1.5215,27.89,CALL,-17.64,12.9999999999999,-62.9999999999999,17.89,-25.0,10.0,15
BAC180119C00013000,1.0234,27.55,CALL,-14.64,46.999999999999886,-28.999999999999915,14.55,8.999999999999986,13.0,14
BAC180119C00014000,0.0,25.0,CALL,-13.64,301.99999999999994,226.00000000000017,11.0,264.00000000000006,14.0,10
BAC180119C00015000,0.8515999999999999,27.5,CALL,-12.64,51.99999999999996,-23.999999999999844,12.5,14.000000000000057,15.0,255
BAC180119C00016000,0.0,24.89,CALL,-11.64,312.9999999999999,237.0000000000001,8.89,275.0,16.0,4
BAC180119C00017000,0.7188,27.65,CALL,-10.64,36.999999999999744,-39.00000000000006,10.65,-0.999999999999801,17.0,5
BAC180119C00018000,0.7441,27.7,CALL,-9.64,32.00000000000003,-43.99999999999977,9.7,-5.999999999999872,18.0,20
BAC180119C00019000,0.6698999999999999,28.0,CALL,-8.64,1.9999999999999574,-73.99999999999984,9.0,-35.99999999999994,19.0,6
BAC180119C00020000,0.5156000000000001,27.62,CALL,-7.640000000000001,39.99999999999986,-35.99999999999994,7.62,1.9999999999999574,20.0,67
BAC180119C00021000,0.4756,27.77,CALL,-6.640000000000001,25.0,-50.9999999999998,6.77,-12.9999999999999,21.0,55
BAC180119C00022000,0.4131,27.67,CALL,-5.640000000000001,35.00000000000014,-40.99999999999966,5.67,-3.0000000000001137,22.0,245
BAC180119C00023000,0.3691,27.7,CALL,-4.640000000000001,32.00000000000003,-43.99999999999977,4.7,-5.999999999999872,23.0,123
BAC180119C00024000,0.32130000000000003,27.8,CALL,-3.6400000000000006,21.999999999999886,-53.999999999999915,3.8,-16.000000000000014,24.0,580
BAC180119C00025000,0.2954,27.94,CALL,-2.6400000000000006,7.9999999999998295,-67.99999999999997,2.94,-30.00000000000007,25.0,980
BAC180119C00026000,0.2783,28.18,CALL,-1.6400000000000006,-16.000000000000014,-91.99999999999982,2.18,-53.999999999999915,26.0,914
BAC180119C00027000,0.2595,28.53,CALL,-0.6400000000000006,-51.000000000000156,-126.99999999999996,1.53,-89.00000000000006,27.0,"2,467"
BAC180119C00028000,0.25239999999999996,29.01,CALL,0.35999999999999943,-99.0000000000002,-175.0,1.01,-137.0000000000001,28.0,"7,586"
BAC180119C00029000,0.2432,29.62,CALL,1.3599999999999994,-160.00000000000014,-235.99999999999994,0.62,-198.00000000000006,29.0,"1,866"
BAC180119C00030000,0.23579999999999998,30.37,CALL,2.3599999999999994,-235.00000000000014,-310.99999999999994,0.37,-273.00000000000006,30.0,"1,620"
BAC180119C00031000,0.2339,31.19,CALL,3.3599999999999994,-317.00000000000017,-393.0,0.19,-355.00000000000006,31.0,82
BAC180119C00032000,0.2305,32.1,CALL,4.359999999999999,-408.00000000000017,-484.0,0.1,-446.0000000000001,32.0,1
BAC180119C00033000,0.2324,33.06,CALL,5.359999999999999,-503.9999999999999,-579.9999999999998,0.06,-541.9999999999998,33.0,165
BAC180119C00034000,0.2441,34.03,CALL,6.359999999999999,-601.0000000000001,-677.0,0.03,-639.0,34.0,26
BAC180119C00035000,0.2695,35.02,CALL,7.359999999999999,-700.0,-775.9999999999998,0.02,-737.9999999999999,35.0,45
BAC180119C00036000,0.2422,36.01,CALL,8.36,-799.0000000000002,-875.0,0.01,-837.0000000000001,36.0,20
BAC180119C00037000,0.2891,37.01,CALL,9.36,-899.0000000000002,-975.0,0.01,-937.0000000000001,37.0,56
BAC180119P00003000,1.8125,2.99,PUT,-24.64,-2427.0000000000005,-2503.0,0.01,-2465.0,3.0,1
BAC180119P00004000,1.4375,3.9,PUT,-23.64,-2336.0000000000005,-2412.0,0.1,-2374.0,4.0,0
BAC180119P00005000,1.2812999999999999,4.99,PUT,-22.64,-2227.0000000000005,-2303.0,0.01,-2265.0,5.0,950
BAC180119P00008000,1.0,7.99,PUT,-19.64,-1927.0000000000002,-2003.0,0.01,-1964.9999999999998,8.0,700
BAC180119P00010000,0.7813,9.96,PUT,-17.64,-1730.0,-1805.9999999999998,0.04,-1768.0,10.0,4
BAC180119P00013000,0.5781000000000001,12.99,PUT,-14.64,-1427.0000000000002,-1503.0,0.01,-1465.0,13.0,10
BAC180119P00014000,0.6172,13.98,PUT,-13.64,-1328.0,-1404.0,0.02,-1366.0,14.0,500
BAC180119P00015000,0.5390999999999999,14.99,PUT,-12.64,-1227.0000000000002,-1303.0,0.01,-1265.0,15.0,5
BAC180119P00016000,0.5195000000000001,15.98,PUT,-11.64,-1128.0,-1204.0,0.02,-1166.0,16.0,400
BAC180119P00017000,0.4531,16.98,PUT,-10.64,-1028.0,-1104.0,0.02,-1066.0,17.0,100
BAC180119P00018000,0.4023,17.98,PUT,-9.64,-928.0000000000001,-1003.9999999999999,0.02,-966.0,18.0,10
BAC180119P00019000,0.3789,18.98,PUT,-8.64,-828.0000000000001,-903.9999999999999,0.02,-866.0,19.0,5
BAC180119P00020000,0.332,19.98,PUT,-7.640000000000001,-728.0000000000001,-803.9999999999999,0.02,-766.0,20.0,15
BAC180119P00021000,0.3125,20.97,PUT,-6.640000000000001,-629.0000000000002,-705.0000000000001,0.03,-667.0000000000002,21.0,"1,849"
BAC180119P00022000,0.2842,21.93,PUT,-5.640000000000001,-533.0000000000002,-609.0,0.07,-571.0000000000001,22.0,328
BAC180119P00023000,0.2676,22.89,PUT,-4.640000000000001,-437.0000000000001,-512.9999999999999,0.11,-475.0,23.0,"9,755"
BAC180119P00024000,0.2583,23.78,PUT,-3.6400000000000006,-348.00000000000006,-423.99999999999983,0.22,-385.99999999999994,24.0,"2,277"
BAC180119P00025000,0.24559999999999998,24.63,PUT,-2.6400000000000006,-263.0000000000002,-339.00000000000006,0.37,-301.00000000000017,25.0,930
BAC180119P00026000,0.2349,25.4,PUT,-1.6400000000000006,-186.00000000000028,-262.0000000000001,0.6,-224.0000000000002,26.0,247
BAC180119P00027000,0.2261,26.04,PUT,-0.6400000000000006,-122.00000000000024,-198.00000000000006,0.96,-160.00000000000014,27.0,"2,329"
BAC180119P00028000,0.2151,26.54,PUT,0.35999999999999943,-72.00000000000024,-148.00000000000006,1.46,-110.00000000000014,28.0,435
BAC180119P00029000,0.2041,26.93,PUT,1.3599999999999994,-33.000000000000185,-108.99999999999999,2.07,-71.00000000000009,29.0,80
BAC180119P00030000,0.188,27.2,PUT,2.3599999999999994,-6.000000000000227,-82.00000000000003,2.8,-44.00000000000013,30.0,48
BAC180119P00031000,0.1856,27.4,PUT,3.3599999999999994,13.999999999999702,-62.0000000000001,3.6,-24.0000000000002,31.0,6
BAC180119P00032000,0.0,27.69,PUT,4.359999999999999,42.99999999999997,-32.99999999999983,4.31,5.000000000000071,32.0,25
BAC180119P00033000,0.0,27.69,PUT,5.359999999999999,42.99999999999997,-32.99999999999983,5.31,5.000000000000071,33.0,1
BAC180119P00034000,0.4111,22.3,PUT,6.359999999999999,-496.0000000000001,-571.9999999999999,11.7,-534.0,34.0,20
BAC180119P00035000,0.0,27.47,PUT,7.359999999999999,20.99999999999973,-55.00000000000007,7.53,-17.00000000000017,35.0,50
BAC180119P00036000,0.4805,23.9,PUT,8.36,-336.0000000000003,-412.0000000000001,12.1,-374.0000000000002,36.0,5
BAC180119P00037000,0.0,27.75,PUT,9.36,48.999999999999844,-26.999999999999957,9.25,10.999999999999943,37.0,10
